key,version,date_from,date_to,CodigoCNAEPrincipal,DescricaoCNAEPrincipal
123,1,"1900-01-01 00:00:00","2037-12-31 23:59:59",2330301,"FABRICAÇÃO DE E"
124,1,"1900-01-01 00:00:00","2037-12-31 23:59:59",2330302,"FABRICAÇÃO DE A"
125,1,"1900-01-01 00:00:00","2037-12-31 23:59:59",2330303,"FABRICAÇÃO DE A"
126,1,"1900-01-01 00:00:00","2037-12-31 23:59:59",2330305,"PREPARAÇÃO DE M"
127,1,"1900-01-01 00:00:00","2037-12-31 23:59:59",2330399,"FABRICAÇÃO DE O"
128,1,"1900-01-01 00:00:00","2037-12-31 23:59:59",2342701,"FABRICAÇÃO DE A"
129,1,"1900-01-01 00:00:00","2037-12-31 23:59:59",2342702,"FABRICAÇÃO DE A"
130,1,"1900-01-01 00:00:00","2037-12-31 23:59:59",2349401,"FABRICAÇÃO DE M"
131,1,"1900-01-01 00:00:00","2037-12-31 23:59:59",2349499,"FABRICAÇÃO DE P"
132,1,"1900-01-01 00:00:00","2037-12-31 23:59:59",2391502,"APARELHAMENTO D"
133,1,"1900-01-01 00:00:00","2037-12-31 23:59:59",2391503,"APARELHAMENTO D"
134,1,"1900-01-01 00:00:00","2037-12-31 23:59:59",2399101,"DECORAÇÃO, LAPI"
135,1,"1900-01-01 00:00:00","2037-12-31 23:59:59",2399199,"FABRICAÇÃO DE O"
136,1,"1900-01-01 00:00:00","2037-12-31 23:59:59",2424501,"PRODUÇÃO DE ARA"
137,1,"1900-01-01 00:00:00","2037-12-31 23:59:59",2424502,"PRODUÇÃO DE REL"
138,1,"1900-01-01 00:00:00","2037-12-31 23:59:59",2449199,"METALURGIA DE O"
139,1,"1900-01-01 00:00:00","2037-12-31 23:59:59",2451200,"FUNDIÇÃO DE FER"
140,1,"1900-01-01 00:00:00","2037-12-31 23:59:59",2452100,"FUNDIÇÃO DE MET"
141,1,"1900-01-01 00:00:00","2037-12-31 23:59:59",2511000,"FABRICAÇÃO DE E"
142,1,"1900-01-01 00:00:00","2037-12-31 23:59:59",2512800,"FABRICAÇÃO DE E"
143,1,"1900-01-01 00:00:00","2037-12-31 23:59:59",2521700,"FABRICAÇÃO DE T"
144,1,"1900-01-01 00:00:00","2037-12-31 23:59:59",2532201,"PRODUÇÃO DE ART"
145,1,"1900-01-01 00:00:00","2037-12-31 23:59:59",2541100,"FABRICAÇÃO DE A"
146,1,"1900-01-01 00:00:00","2037-12-31 23:59:59",2542000,"FABRICAÇÃO DE A"
147,1,"1900-01-01 00:00:00","2037-12-31 23:59:59",2543800,"FABRICAÇÃO DE F"
148,1,"1900-01-01 00:00:00","2037-12-31 23:59:59",2550102,"FABRICAÇÃO DE A"
149,1,"1900-01-01 00:00:00","2037-12-31 23:59:59",2593400,"FABRICAÇÃO DE A"
150,1,"1900-01-01 00:00:00","2037-12-31 23:59:59",2599399,"FABRICAÇÃO DE O"
